customer_id,transaction_date,transaction_amount,transaction_type,transaction_description
16,05:43.6,5247,payment,Online Purchase
16,15:20.0,518,deposit,Check Deposit
16,34:27.8,8032,deposit,Cash Deposit
16,50:24.1,2987,deposit,Salary Deposit
19,48:18.3,723,withdrawal,ATM Withdrawal
19,04:04.8,127,deposit,Check Deposit
19,32:11.7,3945,payment,Restaurant Bill
20,14:24.3,4910,deposit,Salary Deposit
20,38:24.9,6539,withdrawal,Online Transfer
20,02:38.8,2699,deposit,Check Deposit
20,53:48.8,2115,deposit,Salary Deposit
20,51:49.8,889,withdrawal,ATM Withdrawal
20,47:14.9,7623,payment,Online Purchase
21,31:49.2,9856,deposit,Cash Deposit
21,16:44.3,8072,payment,Online Purchase
21,17:55.7,9369,deposit,Salary Deposit
22,20:02.9,1457,withdrawal,ATM Withdrawal
22,41:07.8,3129,payment,Online Purchase
22,31:16.4,4591,deposit,Check Deposit
22,22:10.6,6957,deposit,Cash Deposit
23,37:48.7,4985,withdrawal,Online Transfer
23,48:32.1,5324,payment,Grocery Shopping
23,37:59.7,5615,withdrawal,Online Transfer
24,52:44.0,7874,payment,Grocery Shopping
24,15:25.2,5469,deposit,Salary Deposit
24,45:37.3,1572,withdrawal,ATM Withdrawal
24,59:47.2,9145,deposit,Salary Deposit
24,26:10.8,3248,payment,Grocery Shopping
24,47:31.3,2668,payment,Grocery Shopping
25,04:44.0,4650,payment,Grocery Shopping
25,13:11.5,683,payment,Restaurant Bill
25,05:40.7,8675,withdrawal,ATM Withdrawal
25,01:40.7,1505,deposit,Salary Deposit
25,34:55.5,7318,deposit,Salary Deposit
25,11:51.9,9970,deposit,Cash Deposit
26,29:09.1,7428,withdrawal,Online Transfer
26,06:35.9,368,payment,Restaurant Bill
26,52:35.1,3817,withdrawal,ATM Withdrawal
26,41:57.0,4322,withdrawal,Bill Payment
26,27:59.3,6919,payment,Restaurant Bill
26,00:16.4,6218,deposit,Cash Deposit
26,06:33.5,7614,payment,Grocery Shopping
27,10:27.8,1971,payment,Restaurant Bill
27,22:31.0,6737,payment,Restaurant Bill
27,28:43.0,5367,withdrawal,Online Transfer
27,13:46.4,4627,deposit,Cash Deposit
27,35:47.5,9225,deposit,Salary Deposit
27,13:02.7,6214,deposit,Check Deposit
27,07:49.7,5951,payment,Online Purchase
27,21:42.4,6921,payment,Restaurant Bill
27,18:02.5,2514,withdrawal,Bill Payment
28,49:18.9,4543,deposit,Cash Deposit
28,08:42.3,7609,deposit,Salary Deposit
28,10:02.9,974,withdrawal,ATM Withdrawal
28,53:38.5,6198,withdrawal,Bill Payment
28,42:42.8,3313,payment,Grocery Shopping
29,12:52.7,9435,withdrawal,Online Transfer
30,04:28.5,4113,deposit,Salary Deposit
30,43:54.7,5832,payment,Online Purchase
30,38:09.8,9382,deposit,Cash Deposit
31,22:40.9,5113,deposit,Check Deposit
31,35:53.4,1273,withdrawal,Bill Payment
32,19:22.1,5092,deposit,Check Deposit
32,21:05.1,6449,payment,Grocery Shopping
32,19:07.8,1912,withdrawal,Bill Payment
32,59:43.0,2867,payment,Restaurant Bill
32,23:02.0,3301,payment,Restaurant Bill
34,55:44.1,8443,withdrawal,Bill Payment
34,14:56.0,6371,withdrawal,Bill Payment
34,50:39.8,5229,deposit,Salary Deposit
34,31:05.0,1117,deposit,Salary Deposit
35,23:56.9,1314,withdrawal,ATM Withdrawal
35,29:36.0,9705,payment,Restaurant Bill
35,09:49.6,3692,payment,Grocery Shopping
35,13:11.4,7841,deposit,Salary Deposit
35,23:42.3,1966,deposit,Check Deposit
36,26:33.5,331,withdrawal,ATM Withdrawal
36,19:26.7,6844,deposit,Check Deposit
36,08:07.4,8893,payment,Online Purchase
36,52:11.5,3198,withdrawal,Online Transfer
36,21:43.8,1197,deposit,Check Deposit
36,34:47.5,1246,withdrawal,Bill Payment
36,15:52.6,5122,withdrawal,Bill Payment
37,06:25.0,9531,deposit,Cash Deposit
37,20:25.5,566,payment,Online Purchase
37,25:16.5,7092,deposit,Cash Deposit
37,59:32.2,6259,payment,Online Purchase
38,13:22.1,3391,deposit,Cash Deposit
38,43:13.4,227,deposit,Salary Deposit
38,28:35.6,589,withdrawal,Bill Payment
38,28:53.4,5329,payment,Grocery Shopping
38,04:19.6,6819,deposit,Check Deposit
38,58:08.1,2234,deposit,Check Deposit
39,03:27.2,3889,payment,Online Purchase
39,44:55.4,2969,withdrawal,Online Transfer
39,50:20.7,4577,payment,Online Purchase
39,19:30.1,1557,withdrawal,Bill Payment
39,51:39.3,9846,withdrawal,Bill Payment
39,29:04.5,7283,payment,Grocery Shopping
39,18:53.0,1329,payment,Restaurant Bill
39,56:00.6,3392,payment,Grocery Shopping
39,53:30.4,418,deposit,Salary Deposit
40,32:45.3,3947,payment,Online Purchase
40,47:32.6,5534,deposit,Cash Deposit
40,10:35.9,9845,payment,Online Purchase
40,09:01.8,9326,payment,Restaurant Bill
40,24:30.3,6011,deposit,Cash Deposit
41,25:41.4,1326,deposit,Check Deposit
41,08:54.2,2156,deposit,Check Deposit
41,21:12.0,5265,deposit,Check Deposit
41,30:24.1,7070,deposit,Salary Deposit
41,09:54.9,404,payment,Restaurant Bill
41,00:30.5,4603,payment,Online Purchase
41,55:38.7,2852,withdrawal,ATM Withdrawal
41,53:27.7,7193,deposit,Salary Deposit
42,09:33.4,6960,deposit,Cash Deposit
42,18:18.8,5272,deposit,Check Deposit
42,17:43.0,4573,deposit,Salary Deposit
42,03:04.6,468,withdrawal,Online Transfer
43,38:13.2,8008,deposit,Cash Deposit
43,45:47.6,479,payment,Restaurant Bill
43,13:21.0,9806,payment,Online Purchase
44,05:52.4,5844,withdrawal,Online Transfer
44,30:32.7,8774,withdrawal,ATM Withdrawal
44,47:50.0,6434,payment,Restaurant Bill
44,17:55.7,6082,deposit,Check Deposit
44,41:26.1,4257,withdrawal,ATM Withdrawal
44,02:23.8,8977,deposit,Check Deposit
45,13:57.5,2092,withdrawal,Online Transfer
46,34:10.8,1131,deposit,Check Deposit
46,55:39.4,8675,payment,Grocery Shopping
46,43:24.5,8505,deposit,Salary Deposit
46,13:56.5,7393,withdrawal,Online Transfer
46,00:52.5,2490,deposit,Cash Deposit
46,07:56.7,1199,payment,Grocery Shopping
46,02:46.8,2910,withdrawal,ATM Withdrawal
46,00:13.0,1154,deposit,Check Deposit
46,12:59.4,7066,withdrawal,Bill Payment
47,19:24.2,7752,withdrawal,Bill Payment
47,31:02.0,7865,deposit,Check Deposit
47,05:04.9,6802,deposit,Cash Deposit
49,29:01.8,3514,deposit,Cash Deposit
49,32:17.4,2145,payment,Grocery Shopping
49,32:04.2,4924,withdrawal,Bill Payment
49,14:51.6,6110,deposit,Salary Deposit
50,15:45.3,7943,payment,Online Purchase
50,24:14.7,5986,deposit,Check Deposit
50,11:24.2,6620,deposit,Cash Deposit
50,06:51.8,6247,deposit,Check Deposit
50,23:26.9,1989,payment,Grocery Shopping
50,15:19.8,1404,deposit,Salary Deposit
51,02:05.5,2793,payment,Online Purchase
52,44:19.0,7823,withdrawal,Bill Payment
52,41:07.4,6181,deposit,Check Deposit
52,58:48.8,9840,payment,Restaurant Bill
53,32:51.4,8573,deposit,Cash Deposit
53,44:35.9,1393,payment,Online Purchase
53,52:43.5,1943,deposit,Check Deposit
53,01:01.5,9140,deposit,Check Deposit
54,41:10.2,312,payment,Restaurant Bill
54,47:43.5,5918,deposit,Salary Deposit
54,51:19.7,970,withdrawal,Online Transfer
54,22:28.2,7131,withdrawal,Online Transfer
54,24:31.9,4735,payment,Restaurant Bill
54,08:17.5,1059,payment,Restaurant Bill
54,10:22.7,5755,deposit,Cash Deposit
54,03:28.1,3600,payment,Restaurant Bill
54,49:41.8,1402,payment,Grocery Shopping
55,15:54.6,7730,deposit,Cash Deposit
55,42:12.2,5544,payment,Grocery Shopping
55,06:42.0,2221,payment,Online Purchase
55,06:20.9,2059,payment,Restaurant Bill
57,25:36.9,1781,payment,Online Purchase
57,09:12.8,4649,payment,Grocery Shopping
57,27:18.6,9043,payment,Grocery Shopping
57,47:35.6,7970,withdrawal,Online Transfer
58,31:29.1,4450,deposit,Salary Deposit
58,44:31.1,4679,deposit,Salary Deposit
58,54:56.6,489,deposit,Check Deposit
58,20:02.5,7793,payment,Grocery Shopping
58,12:11.6,5899,payment,Restaurant Bill
58,18:03.4,6956,withdrawal,ATM Withdrawal
58,33:31.0,4476,withdrawal,Online Transfer
59,59:23.3,4090,deposit,Check Deposit
60,53:10.8,5509,payment,Grocery Shopping
60,30:49.0,9578,withdrawal,Online Transfer
60,33:33.5,8907,deposit,Check Deposit
61,56:33.2,6395,withdrawal,Online Transfer
61,37:35.8,9591,withdrawal,ATM Withdrawal
62,59:45.9,2102,deposit,Check Deposit
62,45:44.6,8583,withdrawal,Bill Payment
62,44:17.4,8497,withdrawal,Bill Payment
62,09:16.7,8019,deposit,Cash Deposit
62,24:35.5,1118,deposit,Cash Deposit
62,25:47.5,5993,payment,Online Purchase
62,23:24.8,4721,payment,Grocery Shopping
62,51:26.7,1557,deposit,Cash Deposit
62,07:57.7,8707,deposit,Cash Deposit
63,10:26.0,9767,withdrawal,Online Transfer
64,57:50.5,6826,withdrawal,Bill Payment
64,13:05.8,381,payment,Grocery Shopping
65,40:06.3,6786,withdrawal,Online Transfer
65,56:13.2,6385,withdrawal,ATM Withdrawal
67,32:46.5,4395,withdrawal,Bill Payment
67,57:06.2,2907,withdrawal,Bill Payment
67,28:14.2,2183,withdrawal,ATM Withdrawal
67,51:36.8,8812,withdrawal,Online Transfer
68,07:31.4,1657,withdrawal,Bill Payment
68,15:03.4,4737,deposit,Cash Deposit
68,57:40.6,9831,payment,Online Purchase
68,59:57.6,8062,payment,Online Purchase
68,56:40.4,3033,withdrawal,Online Transfer
68,56:39.8,2383,deposit,Cash Deposit
68,03:04.9,5662,deposit,Check Deposit
68,00:57.7,6912,payment,Online Purchase
69,33:18.6,9396,withdrawal,ATM Withdrawal
69,03:06.0,5058,withdrawal,ATM Withdrawal
69,59:08.0,2170,deposit,Cash Deposit
69,08:13.4,4171,deposit,Check Deposit
69,18:22.9,3772,withdrawal,Bill Payment
69,56:25.6,1975,deposit,Cash Deposit
69,53:06.0,8080,payment,Grocery Shopping
69,37:46.4,2810,deposit,Salary Deposit
69,43:27.4,7649,withdrawal,ATM Withdrawal
70,17:33.4,1138,payment,Grocery Shopping
70,54:30.8,2201,deposit,Cash Deposit
71,39:37.3,9256,withdrawal,Online Transfer
71,57:04.8,2735,payment,Grocery Shopping
71,36:30.8,2432,withdrawal,Bill Payment
71,16:26.8,2520,withdrawal,Bill Payment
72,27:46.7,2415,withdrawal,ATM Withdrawal
72,49:36.9,9361,withdrawal,Bill Payment
72,19:32.3,4924,payment,Grocery Shopping
72,46:45.3,5802,payment,Grocery Shopping
72,34:03.8,2347,withdrawal,Bill Payment
72,47:32.2,9628,withdrawal,Bill Payment
73,32:04.0,8296,payment,Restaurant Bill
74,14:41.7,3583,payment,Restaurant Bill
74,30:06.8,9084,withdrawal,ATM Withdrawal
74,05:09.3,5318,payment,Restaurant Bill
74,47:15.3,5226,deposit,Cash Deposit
74,38:06.3,8557,withdrawal,Bill Payment
74,54:18.7,9170,payment,Grocery Shopping
74,52:49.6,2687,payment,Restaurant Bill
74,48:52.3,5482,payment,Restaurant Bill
75,43:28.8,3905,payment,Restaurant Bill
75,08:43.8,8496,withdrawal,ATM Withdrawal
75,28:40.0,4912,payment,Grocery Shopping
75,07:50.7,4983,deposit,Check Deposit
76,00:59.8,6715,payment,Online Purchase
76,30:03.5,4017,withdrawal,ATM Withdrawal
77,14:09.9,2196,payment,Grocery Shopping
77,07:04.5,3264,withdrawal,Online Transfer
79,42:43.5,9662,deposit,Check Deposit
79,51:24.8,4766,withdrawal,Online Transfer
79,40:07.0,9920,payment,Restaurant Bill
79,25:10.9,1960,deposit,Cash Deposit
79,25:12.7,159,deposit,Cash Deposit
79,54:46.7,6959,withdrawal,Online Transfer
81,21:50.4,8983,deposit,Cash Deposit
81,13:39.9,6525,withdrawal,Bill Payment
81,37:17.5,2370,withdrawal,ATM Withdrawal
82,27:42.6,6221,withdrawal,Bill Payment
82,20:12.3,3455,deposit,Cash Deposit
82,10:03.9,2135,payment,Grocery Shopping
83,49:06.4,596,payment,Grocery Shopping
83,46:48.5,3287,payment,Grocery Shopping
83,31:14.2,8585,deposit,Salary Deposit
84,09:19.5,6245,payment,Grocery Shopping
84,03:57.5,1795,withdrawal,Online Transfer
84,29:31.2,8082,deposit,Salary Deposit
85,12:11.7,8868,deposit,Salary Deposit
85,43:29.5,9497,withdrawal,Online Transfer
85,11:50.9,5027,withdrawal,Online Transfer
85,05:38.9,7476,payment,Restaurant Bill
85,50:57.4,7578,deposit,Check Deposit
86,57:17.5,8100,payment,Restaurant Bill
86,05:31.4,1701,payment,Online Purchase
87,51:33.7,6292,deposit,Check Deposit
88,30:34.4,7076,deposit,Cash Deposit
89,55:44.6,1739,withdrawal,ATM Withdrawal
89,12:58.4,695,payment,Restaurant Bill
89,29:12.3,5492,payment,Restaurant Bill
89,32:59.0,4982,payment,Grocery Shopping
89,26:40.7,4524,payment,Online Purchase
89,54:36.8,8766,withdrawal,Online Transfer
89,13:26.2,771,payment,Grocery Shopping
89,38:39.9,4023,deposit,Check Deposit
90,45:00.2,8459,payment,Restaurant Bill
91,13:20.4,9185,deposit,Check Deposit
91,07:58.3,7501,withdrawal,Online Transfer
91,32:28.9,6827,payment,Online Purchase
91,54:06.8,7533,deposit,Cash Deposit
91,58:20.3,7149,withdrawal,Bill Payment
91,08:17.3,5644,payment,Online Purchase
91,51:52.7,289,payment,Grocery Shopping
92,51:22.6,9749,payment,Grocery Shopping
92,42:23.3,1544,withdrawal,Online Transfer
92,28:56.7,8639,withdrawal,Bill Payment
92,31:52.9,834,deposit,Cash Deposit
92,13:44.2,9264,deposit,Check Deposit
92,22:37.6,545,withdrawal,ATM Withdrawal
93,43:00.6,9439,deposit,Cash Deposit
94,15:12.6,3204,payment,Online Purchase
94,46:28.5,729,withdrawal,Bill Payment
94,05:44.7,4236,withdrawal,Bill Payment
94,25:06.5,1098,deposit,Check Deposit
94,24:40.9,9620,payment,Restaurant Bill
94,27:35.2,8112,withdrawal,Bill Payment
95,40:35.0,6057,payment,Grocery Shopping
95,05:30.9,2210,withdrawal,Bill Payment
95,03:40.4,3741,withdrawal,Bill Payment
95,17:37.6,3057,deposit,Check Deposit
95,01:25.5,4785,deposit,Salary Deposit
96,38:43.3,562,deposit,Cash Deposit
96,45:16.6,399,deposit,Cash Deposit
96,35:27.4,5810,deposit,Check Deposit
96,21:49.1,9167,deposit,Salary Deposit
96,10:10.7,4425,withdrawal,ATM Withdrawal
96,42:41.5,156,payment,Restaurant Bill
96,28:30.8,1641,payment,Online Purchase
97,57:14.6,2246,withdrawal,Online Transfer
97,58:36.0,9737,withdrawal,Online Transfer
98,03:11.0,9701,payment,Online Purchase
98,37:54.3,4448,deposit,Salary Deposit
98,36:33.5,6063,deposit,Salary Deposit
98,00:43.6,7478,withdrawal,ATM Withdrawal
98,06:39.9,8031,withdrawal,Bill Payment
98,08:04.0,5905,payment,Grocery Shopping
98,18:23.8,4820,payment,Restaurant Bill
99,51:59.4,3416,payment,Online Purchase
99,58:32.1,6389,withdrawal,ATM Withdrawal
99,42:44.0,3186,deposit,Check Deposit
99,26:14.0,2193,deposit,Salary Deposit
99,06:29.2,1878,withdrawal,ATM Withdrawal
99,29:05.1,1503,deposit,Salary Deposit
100,54:51.6,1886,deposit,Check Deposit
100,41:30.8,6681,deposit,Check Deposit
100,05:24.5,6541,withdrawal,ATM Withdrawal
100,38:19.3,7219,payment,Restaurant Bill
100,42:46.6,8453,withdrawal,Online Transfer
100,02:03.6,3383,payment,Restaurant Bill
100,40:24.4,9052,payment,Online Purchase
100,05:02.7,3972,deposit,Salary Deposit
100,36:42.8,7016,withdrawal,Bill Payment
101,21:16.0,5672,deposit,Check Deposit
101,18:33.0,7626,withdrawal,ATM Withdrawal
101,51:48.3,6684,deposit,Cash Deposit
101,44:00.2,2736,payment,Restaurant Bill
101,52:22.7,1035,deposit,Salary Deposit
101,28:52.2,3828,deposit,Check Deposit
101,40:15.8,9245,deposit,Check Deposit
101,28:26.5,5107,deposit,Check Deposit
101,15:41.0,2307,withdrawal,Online Transfer
102,40:58.8,1445,payment,Restaurant Bill
103,34:18.8,9800,payment,Grocery Shopping
103,16:20.5,6270,withdrawal,Online Transfer
103,01:54.3,5564,payment,Restaurant Bill
103,14:47.5,5181,withdrawal,Bill Payment
105,19:44.2,9146,withdrawal,ATM Withdrawal
105,37:30.2,5432,deposit,Check Deposit
105,06:44.8,2615,payment,Grocery Shopping
105,36:39.5,8766,payment,Online Purchase
105,48:39.8,154,payment,Restaurant Bill
105,59:07.1,8103,withdrawal,ATM Withdrawal
106,04:39.9,942,payment,Restaurant Bill
106,32:04.7,4759,withdrawal,Online Transfer
106,20:54.3,1723,withdrawal,ATM Withdrawal
106,04:41.4,9475,withdrawal,Bill Payment
106,29:25.6,1436,withdrawal,ATM Withdrawal
106,03:16.7,9383,payment,Online Purchase
106,39:13.8,3586,payment,Online Purchase
106,13:20.8,4718,deposit,Check Deposit
106,35:00.3,2200,payment,Restaurant Bill
107,27:10.8,3231,deposit,Cash Deposit
107,33:51.2,1050,payment,Grocery Shopping
107,05:46.6,3431,deposit,Salary Deposit
107,56:55.5,4399,deposit,Salary Deposit
107,25:38.0,2261,deposit,Cash Deposit
107,15:31.8,190,payment,Grocery Shopping
107,28:48.6,8186,deposit,Salary Deposit
108,17:26.6,7725,payment,Online Purchase
109,27:24.9,3911,payment,Restaurant Bill
109,40:53.9,2764,deposit,Cash Deposit
109,42:31.1,801,withdrawal,ATM Withdrawal
109,32:31.0,6547,deposit,Salary Deposit
110,29:55.8,8663,deposit,Cash Deposit
110,53:20.3,6888,payment,Online Purchase
110,25:11.7,564,deposit,Cash Deposit
110,12:55.7,9625,withdrawal,Bill Payment
110,55:09.8,8372,withdrawal,Bill Payment
110,45:45.3,5374,payment,Restaurant Bill
110,52:45.7,6782,deposit,Cash Deposit
110,07:22.5,4305,withdrawal,Bill Payment
111,50:01.5,9309,deposit,Salary Deposit
111,17:29.2,9737,deposit,Check Deposit
111,24:50.9,1180,payment,Grocery Shopping
112,14:21.0,8687,payment,Online Purchase
112,00:49.6,3014,withdrawal,Bill Payment
112,07:36.6,8395,withdrawal,Bill Payment
112,43:47.8,3977,payment,Online Purchase
112,41:04.4,5718,withdrawal,Online Transfer
112,36:37.3,6612,deposit,Cash Deposit
112,32:12.8,5119,payment,Restaurant Bill
112,38:57.1,8917,withdrawal,Bill Payment
113,54:40.9,1456,deposit,Check Deposit
113,44:40.0,8425,payment,Grocery Shopping
113,36:40.2,553,withdrawal,Bill Payment
113,59:35.4,5650,withdrawal,Bill Payment
113,41:43.1,8691,withdrawal,Bill Payment
113,33:26.3,7584,payment,Online Purchase
113,13:17.9,4018,deposit,Cash Deposit
113,30:08.6,2482,deposit,Check Deposit
113,33:24.8,9080,deposit,Cash Deposit
114,55:19.6,2342,withdrawal,Bill Payment
114,43:29.7,2358,deposit,Salary Deposit
114,53:37.3,2253,deposit,Salary Deposit
114,34:51.8,873,withdrawal,Bill Payment
114,54:40.9,4239,deposit,Salary Deposit
115,31:48.9,2821,payment,Online Purchase
115,29:56.2,8999,withdrawal,ATM Withdrawal
115,03:22.2,978,withdrawal,Online Transfer
115,36:23.0,2370,withdrawal,Online Transfer
115,05:44.3,8973,withdrawal,Bill Payment
116,08:38.7,7493,payment,Online Purchase
116,17:11.1,4100,deposit,Cash Deposit
116,17:42.8,7234,withdrawal,Bill Payment
117,22:08.7,1012,payment,Restaurant Bill
117,43:48.4,317,deposit,Salary Deposit
118,53:00.1,5819,payment,Online Purchase
118,46:30.8,9675,deposit,Salary Deposit
118,24:13.6,5676,payment,Online Purchase
118,16:01.8,689,deposit,Salary Deposit
118,08:08.2,8025,withdrawal,Online Transfer
119,15:14.6,8298,withdrawal,ATM Withdrawal
119,12:06.9,9599,withdrawal,Online Transfer
119,57:49.7,8631,payment,Restaurant Bill
119,43:47.4,6346,deposit,Check Deposit
119,29:47.1,7175,deposit,Cash Deposit
119,16:14.9,9098,withdrawal,Online Transfer
119,12:46.9,3775,payment,Grocery Shopping
119,07:00.5,9279,deposit,Check Deposit
119,23:05.9,6474,withdrawal,ATM Withdrawal
120,37:29.2,5681,payment,Grocery Shopping
120,13:05.4,9896,payment,Online Purchase
120,46:44.1,9270,deposit,Salary Deposit
120,44:39.3,4545,withdrawal,ATM Withdrawal
120,11:47.4,6784,withdrawal,Bill Payment
121,17:38.0,4303,payment,Grocery Shopping
121,55:10.9,5851,withdrawal,Bill Payment
121,09:47.7,7641,payment,Restaurant Bill
121,37:24.0,713,withdrawal,Bill Payment
121,39:30.9,7954,payment,Online Purchase
121,15:48.9,6533,withdrawal,Bill Payment
121,45:22.3,9813,payment,Grocery Shopping
122,08:22.4,7919,deposit,Check Deposit
122,40:12.6,8297,withdrawal,ATM Withdrawal
122,40:34.4,7389,deposit,Check Deposit
122,21:03.0,6762,payment,Grocery Shopping
122,05:58.9,5042,payment,Grocery Shopping
122,21:13.6,4814,deposit,Check Deposit
122,32:25.8,8712,payment,Restaurant Bill
123,04:34.8,7712,withdrawal,Bill Payment
123,14:28.8,2108,payment,Restaurant Bill
123,35:34.2,9979,payment,Grocery Shopping
123,41:02.8,3395,payment,Online Purchase
123,03:15.7,9530,withdrawal,Bill Payment
123,47:39.3,1732,payment,Grocery Shopping
123,12:26.6,4217,withdrawal,Online Transfer
123,23:33.1,5934,withdrawal,Online Transfer
123,35:19.0,6843,withdrawal,Bill Payment
124,27:53.9,5176,payment,Restaurant Bill
125,15:27.7,8863,deposit,Check Deposit
125,28:34.3,8317,payment,Online Purchase
126,36:57.7,2592,deposit,Cash Deposit
126,23:22.8,2062,payment,Restaurant Bill
126,24:45.9,8037,deposit,Salary Deposit
127,06:21.8,1391,withdrawal,Online Transfer
127,59:03.7,4244,withdrawal,Bill Payment
127,56:27.2,1858,payment,Grocery Shopping
128,11:20.9,5395,withdrawal,ATM Withdrawal
128,02:54.6,1887,deposit,Check Deposit
128,05:24.6,4539,deposit,Salary Deposit
128,32:15.0,1042,deposit,Salary Deposit
128,05:04.7,174,payment,Online Purchase
128,17:11.1,7463,deposit,Check Deposit
128,41:38.3,9899,withdrawal,ATM Withdrawal
128,01:05.3,4599,withdrawal,Online Transfer
128,59:39.5,4403,deposit,Salary Deposit
129,17:46.1,340,deposit,Salary Deposit
129,32:34.5,4879,deposit,Salary Deposit
129,00:30.6,6296,deposit,Check Deposit
129,44:34.3,2875,withdrawal,Online Transfer
129,09:53.4,4636,withdrawal,Online Transfer
130,35:19.4,5362,withdrawal,ATM Withdrawal
130,55:20.6,9251,deposit,Salary Deposit
130,33:30.8,1359,withdrawal,Online Transfer
130,35:20.8,6436,payment,Grocery Shopping
130,25:54.9,6266,deposit,Salary Deposit
132,21:47.8,5849,withdrawal,Bill Payment
132,00:01.3,418,payment,Grocery Shopping
132,28:44.1,7039,payment,Restaurant Bill
132,59:11.0,6623,payment,Grocery Shopping
132,53:22.1,5737,withdrawal,Online Transfer
133,38:57.6,6289,payment,Grocery Shopping
133,28:56.2,3500,withdrawal,ATM Withdrawal
133,39:05.2,3799,withdrawal,Bill Payment
133,46:40.2,5708,payment,Grocery Shopping
133,18:52.4,2121,withdrawal,Bill Payment
133,16:44.2,3637,withdrawal,Online Transfer
133,51:32.5,4881,withdrawal,ATM Withdrawal
133,09:14.6,4124,withdrawal,Bill Payment
134,15:30.9,5119,withdrawal,ATM Withdrawal
134,31:52.1,9049,withdrawal,Bill Payment
134,23:39.6,5080,deposit,Salary Deposit
134,37:22.3,3950,deposit,Salary Deposit
134,36:11.4,2581,payment,Online Purchase
134,32:27.9,1281,withdrawal,Bill Payment
134,14:59.8,5623,withdrawal,Online Transfer
134,44:43.1,429,deposit,Cash Deposit
134,32:18.6,6002,payment,Restaurant Bill
135,46:19.8,3968,withdrawal,Bill Payment
135,15:51.5,2334,payment,Grocery Shopping
135,19:12.6,8841,deposit,Check Deposit
135,13:47.0,880,withdrawal,Online Transfer
137,36:46.9,1044,withdrawal,ATM Withdrawal
137,40:26.2,2042,deposit,Salary Deposit
138,54:04.5,3448,withdrawal,ATM Withdrawal
138,35:39.7,7166,deposit,Salary Deposit
138,08:49.0,2113,payment,Online Purchase
139,08:03.4,2092,payment,Grocery Shopping
139,33:35.0,6088,payment,Restaurant Bill
139,20:45.1,658,withdrawal,Bill Payment
139,42:45.5,9734,withdrawal,Bill Payment
139,52:22.4,3240,withdrawal,Bill Payment
139,20:00.3,2908,payment,Online Purchase
140,42:34.2,7672,payment,Restaurant Bill
140,14:47.4,5957,withdrawal,Online Transfer
140,47:01.5,9434,deposit,Cash Deposit
140,22:58.7,386,payment,Online Purchase
140,43:05.2,8798,withdrawal,Bill Payment
140,09:47.0,6289,withdrawal,Bill Payment
141,11:26.2,498,withdrawal,Online Transfer
141,23:14.8,860,withdrawal,Online Transfer
141,09:21.5,3168,deposit,Check Deposit
141,43:52.3,8023,payment,Online Purchase
141,58:31.4,3875,payment,Restaurant Bill
141,56:19.4,770,withdrawal,ATM Withdrawal
141,09:21.4,8747,withdrawal,Bill Payment
141,23:09.5,8633,withdrawal,ATM Withdrawal
