Ingredients,Allergies/Problems Caused
Nira,Allium Allergy
Okra,Histamine Allergy
Olive oil,
Onion,Allium Allergy
Orange,Citrus Allergy
Orange pulp,Citrus Allergy
Papaya,Oral Allergy Syndrome
Parsley,Hypersensitivity
Parsnip,Hypersensitivity
Passion fruit,Oral Allergy Syndrome
Peach,Stone Fruit Allergy
Peanut,Peanut Allergy
Pear,Oral Allergy Syndrome
Peas,Legume Allergy
Peas,Legume Allergy
Pecan,Nut Allergy
Pegia,Legume Allergy
Peppermint,Mint Allergy
Percifomes,Fish Allergy
Pig,Alpha-gal Syndrome
Pineapple,Oral Allergy Syndrome
Popcorn,Corn Allergy
Potato,Potato Allergy
Prune,Stone Fruit Allergy
Pumpkin,
Qing-geng-cai,Cruciferous Allergy
Quince,Oral Allergy Syndrome
Radish leaf,
Radish root,Hypersensitivity
Rapeseed,Seed Allergy
Raspberry,Salicylate Allergy
Rice,Rice Allergy
Ricebran oil,
Royal Jelly,Honey Allergy
Rye,Gluten Allergy
Safflower seed,Seed Allergy
Salmon,Fish Allergy
Salsify,Insulin Allergy
Sansho,Pepper Allergy
Sea Bass,Fish Allergy
Sea Bream,Fish Allergy
Sesame seed,Seed Allergy
Shallot,Allium Allergy
Sheep,Alpha-gal Syndrome
Shelled mollusc,Fish Allergy
Shiitake  mushroom,Mushroom Allergy
Shungiku,Insulin Allergy
Sour cream,Milk allergy / Lactose intolerance
Soybean,Soy Allergy
Spearmint,Mint Allergy
Spinach,Histamine Allergy
Squash,
Strawberry,Salicylate Allergy
Sugar,Sugar Allergy / Intolerance
Sugar beet,Sugar Allergy / Intolerance
Sugarcane,Sugar Allergy / Intolerance
Sultani,Legume Allergy
Sultapya,Legume Allergy
Sunflower oil,
Sunflower seed,Seed Allergy
Sweet corn,Corn Allergy
Sweet Pepper,Nightshade Allergy
Sweet potato,Potato Allergy
Taro,Potato Allergy
Tea,Tannin Allergy
Tetraodontiformes,Fish Allergy
Tomato,Nightshade Allergy
Trout,Fish Allergy
Tuna,Fish Allergy
Turkey,Poultry Allergy
Turnip leaf,
Turnip root,Thyroid
Vegetable oil,
Walnut,Nut Allergy
Water melon,
Watercress,
Welsh,Allium Allergy
Wheat,Gluten Allergy
Whey,Milk allergy / Lactose intolerance
White bean,Legume Allergy
Yam,Potato Allergy
Yogurt ,Milk allergy / Lactose intolerance
